plan_code,plan_description,product_group,product_line,sub_product_line
P10WAR,Platinum 10 Annuity,Deferred Annuity,Annuity,FPDA
P615N,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P615Q,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P615R,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P630N,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P630Q,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P630R,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P6INN,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P6INQ,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P6INR,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P6WAN,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P6WAQ,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
P6WAR,Platinum 6 Annuity,Deferred Annuity,Annuity,FPDA
PL5NQ,Platinum 5 Annuity,Deferred Annuity,Annuity,FPDA
PL5QU,Platinum 5 Annuity,Deferred Annuity,Annuity,FPDA
PL5RO,Platinum 5 Annuity,Deferred Annuity,Annuity,FPDA
R7Q0A1,Annuity Plus,Deferred Annuity,Annuity,FPDA
R7Q1A1,Annuity Plus,Deferred Annuity,Annuity,SPDA
RAPF,Annuity Plus,Deferred Annuity,Annuity,FPDA
RAPS,Annuity Plus,Deferred Annuity,Annuity,SPDA
RAQFP2,Advantage Annuity,Deferred Annuity,Annuity,FPDA
RAQFP3,Advantage Annuity,Deferred Annuity,Annuity,FPDA
RAS2,Advantage Annuity,Deferred Annuity,Annuity,FPDA
RAS3,Advantage Annuity,Deferred Annuity,Annuity,FPDA
110001,WHOLE LIFE - MALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
110002,WHOLE LIFE - 78 - MALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
30T2B,30 Year Term 2020 Rate Change,Traditional Level Term,Term,Term
30T2BM,30 Year Term 2020 no ROP - MT Rate Change,Traditional Level Term,Term,Term
30T3M,30 Year Term 2013 - MT,Traditional Level Term,Term,Term
30T3MH,30 Year Term 2013 - MT Split Fee,Traditional Level Term,Term,Term
30T8WA,Term 2008,Traditional Level Term,Term,Term
30T9B,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
30T9BM,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
30T9BW,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
30T9MT,Term 2009,Traditional Level Term,Term,Term
30T9R,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
30T9RM,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
30T9RW,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
30T9WA,Term 2009,Traditional Level Term,Term,Term
30TMT,2005 TLC Term,Traditional Level Term,Term,Term
30TWA,2005 TLC Term,Traditional Level Term,Term,Term
30X13,30 Year Express Term 2013,Traditional Level Term,Term,Express Term
30X13M,30 Year Express Term 2013 - MT,Traditional Level Term,Term,Express Term
30X19,30 Year Express Term 2019,Traditional Level Term,Term,Express Term
30X19M,30 Year Express Term 2019 - MT,Traditional Level Term,Term,Express Term
ARS100,Member Protection Term,Traditional Level Term,Term,Term
ARS199,Member Protection Term,Traditional Level Term,Term,Term
ART100,Member Protection Term,Traditional Level Term,Term,Term
ART199,Member Protection Term,Traditional Level Term,Term,Term
MI10TS,Member Protection Term,Traditional Level Term,Term,Term
MI20TS,Member Protection Term,Traditional Level Term,Term,Term
MIARTS,Member Protection Term,Traditional Level Term,Term,Term
MP10TP,Member Protection Term,Traditional Level Term,Term,Term
MP10TS,Member Protection Term,Traditional Level Term,Term,Term
MP10TU,Member Protection Term,Traditional Level Term,Term,Term
MP20TP,Member Protection Term,Traditional Level Term,Term,Term
MP20TS,Member Protection Term,Traditional Level Term,Term,Term
MP20TU,Member Protection Term,Traditional Level Term,Term,Term
MPARTP,Member Protection Term,Traditional Level Term,Term,Term
MPARTS,Member Protection Term,Traditional Level Term,Term,Term
MPARTU,Member Protection Term,Traditional Level Term,Term,Term
ESI00,Estate Saver UL,Universal Life,Universal Life,Accumulator UL
ESII00,Estate Saver UL,Universal Life,Universal Life,Accumulator UL
ESUL1,Estate Saver UL,Universal Life,Universal Life,Accumulator UL
ESUL2,Estate Saver UL,Universal Life,Universal Life,Accumulator UL
F000U1,LifePlus Universal Life,Universal Life,Universal Life,Accumulator UL
F002U1,LifePlus Universal Life,Universal Life,Universal Life,Accumulator UL
F003U1,LifePlus Universal Life,Universal Life,Universal Life,Accumulator UL
F010U1,LifePlus Universal Life,Universal Life,Universal Life,Accumulator UL
F020U1,LifePlus Universal Life,Universal Life,Universal Life,Accumulator UL
F030U1,LifePlus Universal Life,Universal Life,Universal Life,Accumulator UL
LTU106,LifeTime Universal Life,Universal Life,Universal Life,LifeTime UL
LTU206,LifeTime Universal Life,Universal Life,Universal Life,LifeTime UL
LTULI,LifeTime Universal Life,Universal Life,Universal Life,LifeTime UL
LTULII,LifeTime Universal Life,Universal Life,Universal Life,LifeTime UL
MIULI,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULA08,Accumulator 2008,Universal Life,Universal Life,Accumulator UL
ULA11,ASLT 2011 Accumulator,Universal Life,Universal Life,Accumulator UL
ULA11M,ASLT 2011 Accumulator Montana,Universal Life,Universal Life,Accumulator UL
ULA17,AAA Accumulator Universal Life 2017,Universal Life,Universal Life,Accumulator UL
ULA17M,AAA Accumulator Universal Life 2017 Montana,Universal Life,Universal Life,Accumulator UL
ULA18,AAA Accumulator Universal Life 2018,Universal Life,Universal Life,Accumulator UL
ULA18M,AAA Accumulator Universal Life 2018 Montana,Universal Life,Universal Life,Accumulator UL
ULA19,Accumulator Universal Life Insurance 2019,Universal Life,Universal Life,Accumulator UL
ULA19M,Accumulator Universal Life Insurance 2019 MT,Universal Life,Universal Life,Accumulator UL
ULA20,Accumulator Universal Life Insurance 2020,Universal Life,Universal Life,Accumulator UL
ULA20M,Accumulator Universal Life Insurance 2020 MT,Universal Life,Universal Life,Accumulator UL
ULACC1,Choice Accumulator,Universal Life,Universal Life,Accumulator UL
ULACC2,Choice Accumulator,Universal Life,Universal Life,Accumulator UL
ULI,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULI00,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULI99,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULII,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULII00,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULII99,Universal Life I/II,Universal Life,Universal Life,Accumulator UL
ULL08,LifeTime UL 2008,Universal Life,Universal Life,LifeTime UL
ULL11,ASLT 2011 Lifetime Universal Life 11,Universal Life,Universal Life,LifeTime UL
ULL11M,ASLT 2011 Lifetime Universal Life 11-MT,Universal Life,Universal Life,LifeTime UL
ULL13,AAA Lifetime Universal Life 2013,Universal Life,Universal Life,LifeTime UL
110101,WHOLE LIFE - FEMALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
110102,WHOLE LIFE - 78 - FEMALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
110204,WHOLE LIFE-SMK,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
110304,WHOLE LIFE-NSMK,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
111002,PREFERRED WHOLE LIFE - MALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
111102,PREFERRED WHOLE LIFE - FEMALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
120001,20 PAY LIFE - MALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
120101,20 PAY LIFE - FEMALE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
120204,20 PAY LIFE-SMK,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
120304,20 PAY LIFE-NSMK,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
140001,JOINT WHOLE LIFE,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
140204,JOINT WHOLE LIFE - SMK,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
140304,JOINT WHOLE LIFE - NSMK,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
150002,WHOLE LIFE GRADED BENEFIT,Fully Underwritten Whole Life,Whole Life and Juvenile,Whole Life
20P18,ASLT 2018 Term - ROP,Traditional Level Term,Term,Term
20P18M,ASLT 2018 Term - ROP,Traditional Level Term,Term,Term
20P19,20 YEAR TERM 2019 w/ ROP,Traditional Level Term,Term,Term
20P19M,20 YEAR TERM 2019 w/ ROP - MT,Traditional Level Term,Term,Term
20P1M,ASLT 2011 ROP Term - MT,Traditional Level Term,Term,Term
20P1MH,ASLT 2011 ROP Term - MT,Traditional Level Term,Term,Term
20P20,20 Year Term 2020 w/ ROP,Traditional Level Term,Term,Term
20P20M,20 Year Term 2020 w/ ROP - MT,Traditional Level Term,Term,Term
20P2B,20 Year Term 2020 w/ ROP Rate Change,Traditional Level Term,Term,Term
20P2BM,20 Year Term 2020 w/ ROP - MT Rate Change,Traditional Level Term,Term,Term
20P3M,20 Year Term 2013 w/ ROP - MT,Traditional Level Term,Term,Term
20P3MH,20 Year Term 2013 - MT Split Fee w/ROP,Traditional Level Term,Term,Term
20S199,Member Protection Term,Traditional Level Term,Term,Term
20T,2005 TLC Term,Traditional Level Term,Term,Term
20T08,Term 2008,Traditional Level Term,Term,Term
20T09,Term 2009,Traditional Level Term,Term,Term
20T11,ASLT 2011 Term,Traditional Level Term,Term,Term
20T11H,ASLT 2011 Term,Traditional Level Term,Term,Term
20T13,20 Year Term 2013,Traditional Level Term,Term,Term
20T13H,20 Year Term 2013 Split Fee,Traditional Level Term,Term,Term
20T15,ASLT 2015 Term,Traditional Level Term,Term,Term
20T15M,ASLT 2015 Term,Traditional Level Term,Term,Term
20T17,ASLT 2017 Term,Traditional Level Term,Term,Term
20T17M,ASLT 2017 Term,Traditional Level Term,Term,Term
20T18,ASLT 2018 Term,Traditional Level Term,Term,Term
20T18M,ASLT 2018 Term,Traditional Level Term,Term,Term
20T19,20 Year Term 2019,Traditional Level Term,Term,Term
20T199,Member Protection Term,Traditional Level Term,Term,Term
20T19M,20 YEAR TERM 2019 no ROP - MT,Traditional Level Term,Term,Term
20T1M,ASLT 2011 Term - MT,Traditional Level Term,Term,Term
20T1MH,ASLT 2011 Term - MT,Traditional Level Term,Term,Term
20T20,20 Year Term 2020,Traditional Level Term,Term,Term
20T20M,20 Year Term 2020 no ROP - MT,Traditional Level Term,Term,Term
20T2B,20 Year Term 2020 Rate Change,Traditional Level Term,Term,Term
20T2BM,20 Year Term 2020 no ROP - MT Rate Change,Traditional Level Term,Term,Term
20T3M,20 Year Term 2013 - MT,Traditional Level Term,Term,Term
WPB014,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB016,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB017,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB018,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB019,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB020,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB021,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB022,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB023,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB024,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB025,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB032,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB033,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB034,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
WPB035,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
573,,Accident,Accident and Health,HIP
574,,Accident,Accident and Health,HIP
582,,Accident,Accident and Health,HIP
583,,Accident,Accident and Health,HIP
584,,Accident,Accident and Health,HIP
590,,Accident,Accident and Health,HIP
593,,Accident,Accident and Health,HIP
594,,Accident,Accident and Health,HIP
595,,Accident,Accident and Health,HIP
596,,Accident,Accident and Health,HIP
597,,Accident,Accident and Health,HIP
610,,Accident,Accident and Health,HIP
642,,Accident,Accident and Health,HIP
643,,Accident,Accident and Health,HIP
ACCLUB,,Accident,Accident and Health,ADB Rider
AIPCLM,,Accident,Accident and Health,HIP
B127,,Accident,Accident and Health,Accident
B128,,Accident,Accident and Health,Accident
25P18,ASLT 2018 Term - ROP,Traditional Level Term,Term,Term
25P18M,ASLT 2018 Term,Traditional Level Term,Term,Term
25P19,25 YEAR TERM 2019 w/ ROP,Traditional Level Term,Term,Term
25P19M,25 YEAR TERM 2019 w/ ROP - MT,Traditional Level Term,Term,Term
25P1M,ASLT 2011 ROP Term - MT,Traditional Level Term,Term,Term
25P1MH,ASLT 2011 ROP Term - MT,Traditional Level Term,Term,Term
25P20,25 Year Term 2020 w/ ROP,Traditional Level Term,Term,Term
25P20M,25 Year Term 2020 w/ ROP - MT,Traditional Level Term,Term,Term
25P3M,25 Year Term 2013 w/ ROP - MT,Traditional Level Term,Term,Term
25P3MH,25 Year Term 2013 - MT Split Fee w/ROP,Traditional Level Term,Term,Term
25T,2005 TLC Term,Traditional Level Term,Term,Term
25T08,Term 2008,Traditional Level Term,Term,Term
25T09,Term 2009,Traditional Level Term,Term,Term
25T11,ASLT 2011 Term,Traditional Level Term,Term,Term
25T11H,ASLT 2011 Term,Traditional Level Term,Term,Term
25T13,25 Year Term 2013,Traditional Level Term,Term,Term
25T13H,25 Year Term 2013 Split Fee,Traditional Level Term,Term,Term
25T15,ASLT 2015 Term,Traditional Level Term,Term,Term
25T15M,ASLT 2015 Term,Traditional Level Term,Term,Term
25T17,ASLT 2017 Term,Traditional Level Term,Term,Term
25T17M,ASLT 2017 Term,Traditional Level Term,Term,Term
25T18,ASLT 2018 Term,Traditional Level Term,Term,Term
25T18M,ASLT 2018 Term,Traditional Level Term,Term,Term
25T19,25 Year Term 2019,Traditional Level Term,Term,Term
25T19M,25 YEAR TERM 2019 no ROP - MT,Traditional Level Term,Term,Term
25T1M,ASLT 2011 Term - MT,Traditional Level Term,Term,Term
25T1MH,ASLT 2011 Term - MT,Traditional Level Term,Term,Term
25T20,25 Year Term 2020,Traditional Level Term,Term,Term
25T20M,25 Year Term 2020 no ROP - MT,Traditional Level Term,Term,Term
25T3M,25 Year Term 2013 - MT,Traditional Level Term,Term,Term
25T3MH,25 Year Term 2013 - MT Split Fee,Traditional Level Term,Term,Term
25T8WA,Term 2008,Traditional Level Term,Term,Term
25T9B,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
25T9BM,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
25T9BW,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
25T9MT,Term 2009,Traditional Level Term,Term,Term
25T9R,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
25T9RM,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
25T9RW,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
25T9WA,Term 2009,Traditional Level Term,Term,Term
25TMT,2005 TLC Term,Traditional Level Term,Term,Term
25TWA,2005 TLC Term,Traditional Level Term,Term,Term
25X13,25 Year Express Term 2013,Traditional Level Term,Term,Express Term
25X13M,25 Year Express Term 2013 - MT,Traditional Level Term,Term,Express Term
3002W,2001 TLC Term,Traditional Level Term,Term,Term
30MT,2005 TLC Term,Traditional Level Term,Term,Term
30P11,ASLT 2011 ROP Term,Traditional Level Term,Term,Term
30P11H,ASLT 2011 ROP Term,Traditional Level Term,Term,Term
30P13,30 Year Term 2013 w/ ROP,Traditional Level Term,Term,Term
30P13H,30 Year Term 2013 Split Fee w/ROP,Traditional Level Term,Term,Term
30P15,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
30P15M,ASLT 2015 Term,Traditional Level Term,Term,Term
30P17,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
30P17M,ASLT 2017 Term,Traditional Level Term,Term,Term
30P18,ASLT 2018 Term - ROP,Traditional Level Term,Term,Term
30P18M,ASLT 2018 Term,Traditional Level Term,Term,Term
30P19,30 YEAR TERM 2019 w/ ROP,Traditional Level Term,Term,Term
30P19M,30 YEAR TERM 2019 w/ ROP - MT,Traditional Level Term,Term,Term
30P1M,ASLT 2011 ROP Term - MT,Traditional Level Term,Term,Term
30P1MH,ASLT 2011 ROP Term - MT,Traditional Level Term,Term,Term
30P20,30 Year Term 2020 w/ ROP,Traditional Level Term,Term,Term
30P20M,30 Year Term 2020 w/ ROP - MT,Traditional Level Term,Term,Term
30P2B,30 Year Term 2020 w/ ROP Rate Change,Traditional Level Term,Term,Term
30P2BM,30 Year Term 2020 w/ ROP - MT Rate Change,Traditional Level Term,Term,Term
30P3M,30 Year Term 2013 w/ ROP - MT,Traditional Level Term,Term,Term
30P3MH,30 Year Term 2013 - MT Split Fee w/ROP,Traditional Level Term,Term,Term
30T,2005 TLC Term,Traditional Level Term,Term,Term
30T08,Term 2008,Traditional Level Term,Term,Term
30T09,Term 2009,Traditional Level Term,Term,Term
30T11,ASLT 2011 Term,Traditional Level Term,Term,Term
30T11H,ASLT 2011 Term,Traditional Level Term,Term,Term
30T13,30 Year Term 2013,Traditional Level Term,Term,Term
15T11,ASLT 2011 Term,Traditional Level Term,Term,Term
15T11H,ASLT 2011 Term,Traditional Level Term,Term,Term
15T13,15 Year Term 2013,Traditional Level Term,Term,Term
15T13H,15 year Term 2013 Split Fee,Traditional Level Term,Term,Term
15T15,ASLT 2015 Term,Traditional Level Term,Term,Term
15T15M,ASLT 2015 Term,Traditional Level Term,Term,Term
15T17,ASLT 2017 Term,Traditional Level Term,Term,Term
15T17M,ASLT 2017 Term,Traditional Level Term,Term,Term
15T18,ASLT 2018 Term,Traditional Level Term,Term,Term
15T18M,ASLT 2018 Term,Traditional Level Term,Term,Term
15T19,15 Year Term 2019,Traditional Level Term,Term,Term
15T19M,15 Year Term 2019 no ROP - MT,Traditional Level Term,Term,Term
15T1M,ASLT 2011 Term - MT,Traditional Level Term,Term,Term
15T1MH,ASLT 2011 Term - MT,Traditional Level Term,Term,Term
15T20,15 Year Term 2020,Traditional Level Term,Term,Term
15T20M,15 Year Term 2020 no ROP - MT,Traditional Level Term,Term,Term
15T2B,15 Year Term 2020 Rate Change,Traditional Level Term,Term,Term
ULL13M,AAA Lifetime Universal Life 2013 Montana,Universal Life,Universal Life,LifeTime UL
ULL17,AAA Lifetime Universal Life 2017,Universal Life,Universal Life,LifeTime UL
ULL17M,AAA Lifetime Universal Life 2017 Montana,Universal Life,Universal Life,LifeTime UL
ULL18,AAA Lifetime Universal Life 2018,Universal Life,Universal Life,LifeTime UL
ULL18M,AAA Lifetime Universal Life 2018 Montana,Universal Life,Universal Life,LifeTime UL
ULL19,AAA Lifetime Universal Life 2019,Universal Life,Universal Life,LifeTime UL
ULL19M,AAA Lifetime Universal Life 2019 MT,Universal Life,Universal Life,LifeTime UL
ULL20,AAA Lifetime Universal Life 2020,Universal Life,Universal Life,LifeTime UL
ULL20M,AAA Lifetime Universal Life 2020 MT,Universal Life,Universal Life,LifeTime UL
ULL8MT,LifeTime UL 2008,Universal Life,Universal Life,LifeTime UL
SECIUL,Securian Indexed UL,Universal Life,Universal Life,Indexed UL
WPB013,Disability Waiver of Premium,Waiver of Premium Riders,Accident and Health,Waiver
20TWA,2005 TLC Term,Traditional Level Term,Term,Term
20X13,20 Year Express Term 2013,Traditional Level Term,Term,Express Term
20X13M,20 Year Express Term 2013 - MT,Traditional Level Term,Term,Express Term
20X19,20 Year Express Term 2019,Traditional Level Term,Term,Express Term
20X19M,20 Year Express Term 2019 - MT,Traditional Level Term,Term,Express Term
25100W,2001 TLC Term,Traditional Level Term,Term,Term
25MT,2005 TLC Term,Traditional Level Term,Term,Term
25P11,ASLT 2011 ROP Term,Traditional Level Term,Term,Term
25P11H,ASLT 2011 ROP Term,Traditional Level Term,Term,Term
25P13,25 Year Term 2013 w/ ROP,Traditional Level Term,Term,Term
25P13H,25 Year Term 2013 Split Fee w/ROP,Traditional Level Term,Term,Term
25P15,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
25P15M,ASLT 2015 Term,Traditional Level Term,Term,Term
25P17,ASLT 2015 Term - ROP,Traditional Level Term,Term,Term
25P17M,ASLT 2017 Term,Traditional Level Term,Term,Term
B129,,Accident,Accident and Health,Accident
B380,,Accident,Accident and Health,Accident
B381,,Accident,Accident and Health,Accident
B382,,Accident,Accident and Health,Accident
B383,,Accident,Accident and Health,Accident
B384,,Accident,Accident and Health,Accident
B385,,Accident,Accident and Health,Accident
B386,,Accident,Accident and Health,Accident
B387,,Accident,Accident and Health,Accident
B388,,Accident,Accident and Health,Accident
B389,,Accident,Accident and Health,Accident
CLUB00,,Accident,Accident and Health,ADB Rider
CRCLUB,,Accident,Accident and Health,ADB Rider
DMAT22,Direct Mail Term 2022,Periodically Adjusted Term,Term,Direct Mail Term
DMMT22,Direct Mail Term 2022 Montana,Periodically Adjusted Term,Term,Direct Mail Term
DMNY22,Direct Mail Term 2022 New York,Periodically Adjusted Term,Term,Direct Mail Term
DMWA22,Direct Mail Term 2022 Washington,Periodically Adjusted Term,Term,Direct Mail Term
15T2BM,15 Year Term 2020 no ROP - MT Rate Change,Traditional Level Term,Term,Term
15T3M,15 year Term 2013 - MT,Traditional Level Term,Term,Term
15T3MH,15 Year Term 2013 - MT Split Fee,Traditional Level Term,Term,Term
15T8WA,Term 2008,Traditional Level Term,Term,Term
15T9B,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
15T9BM,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
15T9BW,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
15T9MT,Term 2009,Traditional Level Term,Term,Term
15T9R,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
15T9RM,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
15T9RW,Enhanced ROP Term 2009,Traditional Level Term,Term,Term
20R9FL,Term 2009,ROP Riders,Term,ROP Rider
20R9MT,Term 2009,ROP Riders,Term,ROP Rider
